TITLU_RAPORT,ANEXA,COD_ORDONATOR,ORDONATOR,CAPITOL,SUBCAPITOL,PARAGRAF,GRUPA,ARTICOL,ALINEAT,DENUMIRE,PROGRAM_2025,ESTIMARI2026,ESTIMARI2027,ESTIMARI2028
BUGETUL DE STAT,Anexa nr.1,00,Total,0001,01,,,,,VENITURI - TOTAL,357.353.033,349.169.360,349.399.128,367.798.364
BUGETUL DE STAT,Anexa nr.1,00,Total,0002,01,  ,,,,I.VENITURI CURENTE,278.999.496,296.761.619,317.534.856,339.093.921
BUGETUL DE STAT,Anexa nr.1,00,Total,0003,01,  ,,,,A.VENITURI FISCALE,234.103.618,251.711.677,270.005.482,289.075.837
BUGETUL DE STAT,Anexa nr.1,00,Total,0004,01,  ,,,,"A1.IMPOZIT PE VENIT, PROFIT SI CASTIGURI DIN CAPITAL",60.729.767,65.390.577,69.551.838,73.713.645
BUGETUL DE STAT,Anexa nr.1,00,Total,0005,01,  ,,,,"A11.IMPOZIT PE VENIT, PROFIT SI CASTIGURI DIN CAPITAL DE LA PERSOANE JURIDICE",44.654.554,48.945.383,52.411.055,55.879.628
BUGETUL DE STAT,Anexa nr.1,00,Total,0101,,,,,,IMPOZIT PE PROFIT,41.160.812,46.228.568,49.629.181,53.036.140
BUGETUL DE STAT,Anexa nr.1,00,Total,0101,01,,,,, Impozit pe profit de la agentii economici,39.259.016,44.104.350,47.283.538,50.527.169
BUGETUL DE STAT,Anexa nr.1,00,Total,0101,02,,,,, Impozit pe profit de la bancile comerciale,3.254.672,3.517.681,3.775.336,4.038.214
BUGETUL DE STAT,Anexa nr.1,00,Total,0101,03,,,,, Sume redirectionate din impozitul pe profit (se scad),-1.352.876,-1.393.463,-1.429.693,-1.529.243
BUGETUL DE STAT,Anexa nr.1,00,Total,0201,,,,,,"ALTE IMPOZITE PE VENIT, PROFIT SI CASTIGURI DIN CAPITAL DE LA PERSOANE JURIDICE",3.493.742,2.716.815,2.781.874,2.843.488
BUGETUL DE STAT,Anexa nr.1,00,Total,0201,03,,,,, Impozit pe dividende datorat de persoane juridice,1.257.682,1.288.974,1.316.908,1.343.363
BUGETUL DE STAT,Anexa nr.1,00,Total,0201,06,,,,, Impozit pe venitul microintreprinderilor,2.291.623,1.485.071,1.523.683,1.560.252
